Best -> Correlation: 0.331705262699599 using {'negative': 10, 'window': 5, 'min_count': 5, 'epochs': 30, 'embedding_size': 500}
Correlation: 0.121477 - Parameters: {'window': 5, 'embedding_size': 600, 'negative': 10, 'min_count': 1, 'epochs': 10}
Correlation: 0.121395 - Parameters: {'window': 7, 'embedding_size': 600, 'negative': 10, 'min_count': 1, 'epochs': 10}
Correlation: 0.275742 - Parameters: {'window': 5, 'embedding_size': 600, 'negative': 5, 'min_count': 5, 'epochs': 10}
Correlation: 0.279864 - Parameters: {'window': 7, 'embedding_size': 600, 'negative': 5, 'min_count': 5, 'epochs': 10}
Correlation: 0.288873 - Parameters: {'window': 5, 'embedding_size': 600, 'negative': 10, 'min_count': 5, 'epochs': 10}
Correlation: 0.288741 - Parameters: {'window': 7, 'embedding_size': 600, 'negative': 10, 'min_count': 5, 'epochs': 10}
Correlation: 0.229436 - Parameters: {'window': 5, 'embedding_size': 600, 'negative': 5, 'min_count': 1, 'epochs': 20}
Correlation: 0.251919 - Parameters: {'window': 7, 'embedding_size': 600, 'negative': 5, 'min_count': 1, 'epochs': 20}
Correlation: 0.279058 - Parameters: {'window': 5, 'embedding_size': 600, 'negative': 10, 'min_count': 1, 'epochs': 20}
Correlation: 0.294385 - Parameters: {'window': 7, 'embedding_size': 600, 'negative': 10, 'min_count': 1, 'epochs': 20}
Correlation: 0.303674 - Parameters: {'window': 5, 'embedding_size': 600, 'negative': 5, 'min_count': 5, 'epochs': 20}
Correlation: 0.311366 - Parameters: {'window': 7, 'embedding_size': 600, 'negative': 5, 'min_count': 5, 'epochs': 20}
Correlation: 0.323576 - Parameters: {'window': 5, 'embedding_size': 600, 'negative': 10, 'min_count': 5, 'epochs': 20}
Correlation: 0.319772 - Parameters: {'window': 7, 'embedding_size': 600, 'negative': 10, 'min_count': 5, 'epochs': 20}

#Training 3
Correlation: 0.326934 - Parameters: {'negative': 10, 'window': 5, 'min_count': 5, 'epochs': 20, 'embedding_size': 500}
Correlation: 0.321759 - Parameters: {'negative': 15, 'window': 5, 'min_count': 5, 'epochs': 20, 'embedding_size': 500}
Correlation: 0.331705 - Parameters: {'negative': 10, 'window': 5, 'min_count': 5, 'epochs': 30, 'embedding_size': 500}
Correlation: 0.325737 - Parameters: {'negative': 15, 'window': 5, 'min_count': 5, 'epochs': 30, 'embedding_size': 500}
